"","Names","scores"
"1","f__Thermaceae",-2.25196703921
"2","f__Sphingobacteriaceae",-1.21502139425132
"3","f__Flavobacteriaceae",-1.07368553292723
"4","f__Weeksellaceae",-0.905284258338542
"5","f__Lactobacillaceae",-0.735592813115331
"6","f__Candidatus_Kaiserbacteria",-0.519859465923683
"7","f__Bdellovibrionaceae",-0.391279468144495
"8","f__Alcaligenaceae",-0.214730072672297
"9","f__0319.6G20",0.0864805341937071
"10","f__Erysipelotrichaceae",0.19742799448202
"11","f__Oligoflexales",0.250431447181701
"12","f__Saccharimonadales",0.293515532811009
"13","f__Moraxellaceae",1.07960730771637
